Key,scientificName,commonName
torcro3,Corvus insularis,Bismarck Crow
jamcro1,Corvus jamaicensis,Jamaican Crow
marcro1,Corvus kubaryi,Mariana Crow
whncro1,Corvus leucognaphalus,White-necked Crow
labcro1,Corvus macrorhynchos,Large-billed Crow
boucro1,Corvus meeki,Bougainville Crow
litrav1,Corvus mellori,Little Raven
eurjac,Corvus monedula,Eurasian Jackdaw
neccro1,Corvus moneduloides,New Caledonian Crow
cubcro1,Corvus nasicus,Cuban Crow
torcro2,Corvus orru,Torresian Crow
fiscro,Corvus ossifragus,Fish Crow
palcro2,Corvus palmarum,Palm Crow
colcro1,Corvus pectoralis,Collared Crow
fatrav1,Corvus rhipidurus,Fan-tailed Raven
brnrav1,Corvus ruficollis,Brown-necked Raven
sincro1,Corvus sinaloae,Sinaloa Crow
houcro1,Corvus splendens,House Crow
forrav1,Corvus tasmanicus,Forest Raven
grycro1,Corvus tristis,Gray Crow
pipcro1,Corvus typicus,Piping Crow
bancro1,Corvus unicolor,Banggai Crow
lobcro1,Corvus validus,Long-billed Crow
slbcro3,Corvus violaceus,Violet Crow
guacro1,Corvus woodfordi,Guadalcanal Crow
dusbro1,Corydon sumatranus,Dusky Broadbill
blmfin1,Coryphaspiza melanotis,Black-masked Finch
lalbru1,Coryphistera alaudina,Lark-like Brushrunner
recfin1,Coryphospingus cucullatus,Red-crested Finch
pilfin1,Coryphospingus pileatus,Pileated Finch
grbtur1,Corythaeola cristata,Great Blue Turaco
grygab1,Corythaixoides concolor,Gray Go-away-bird
wbgbir1,Corythaixoides leucogaster,White-bellied Go-away-bird
bfgbir1,Corythaixoides personatus,Bare-faced Go-away-bird
souant1,Corythopis delalandi,Southern Antpipit
rinant2,Corythopis torquatus,Ringed Antpipit
malkin1,Corythornis cristatus,Malachite Kingfisher
whbkin1,Corythornis leucogaster,White-bellied Kingfisher
mapkin1,Corythornis madagascariensis,Madagascar Pygmy Kingfisher
malkin2,Corythornis vintsioides,Malagasy Kingfisher
cosswa1,Coscoroba coscoroba,Coscoroba Swan
wcrcha1,Cossypha albicapillus,White-crowned Robin-Chat
ofrcha1,Cossypha anomala,Olive-flanked Robin-Chat
arrcha1,Cossypha archeri,Archer's Robin-Chat
carcha1,Cossypha caffra,Cape Robin-Chat
bsrcha1,Cossypha cyanocampter,Blue-shouldered Robin-Chat
chrcha1,Cossypha dichroa,Chorister Robin-Chat
whrcha1,Cossypha heinrichi,White-headed Robin-Chat
wbrcha2,Cossypha heuglini,White-browed Robin-Chat
wtrcha1,Cossypha humeralis,White-throated Robin-Chat
morcha1,Cossypha isabellae,Mountain Robin-Chat
rcrcha1,Cossypha natalensis,Red-capped Robin-Chat
scrcha1,Cossypha niveicapilla,Snowy-crowned Robin-Chat
gywroc1,Cossypha polioptera,Gray-winged Robin-Chat
rurcha1,Cossypha semirufa,Rüppell's Robin-Chat
wbrcha1,Cossyphicula roberti,White-bellied Robin-Chat
lovcot1,Cotinga amabilis,Lovely Cotinga
spacot1,Cotinga cayana,Spangled Cotinga
pubcot1,Cotinga cotinga,Purple-breasted Cotinga
bancot1,Cotinga maculata,Banded Cotinga
pltcot1,Cotinga maynana,Plum-throated Cotinga
blucot1,Cotinga nattererii,Blue Cotinga
turcot1,Cotinga ridgwayi,Turquoise Cotinga
swirai1,Coturnicops exquisitus,Swinhoe's Rail
sperai1,Coturnicops notatus,Speckled Rail
yelrai,Coturnicops noveboracensis,Yellow Rail
raiqua1,Coturnix coromandelica,Rain Quail
comqua1,Coturnix coturnix,Common Quail
harqua1,Coturnix delegorguei,Harlequin Quail
japqua,Coturnix japonica,Japanese Quail
nezqua1,Coturnix novaezelandiae,New Zealand Quail
stuqua1,Coturnix pectoralis,Stubble Quail
blucou1,Coua caerulea,Blue Coua
coqcou1,Coua coquereli,Coquerel's Coua
crecou1,Coua cristata,Crested Coua
runcou1,Coua cursor,Running Coua
snecou1,Coua delalandei,Snail-eating Coua
giacou1,Coua gigas,Giant Coua
refcou1,Coua reynaudii,Red-fronted Coua
reccou1,Coua ruficeps,Red-capped Coua
rebcou1,Coua serriana,Red-breasted Coua
vercou1,Coua verreauxi,Verreaux's Coua
sibbut1,Cracticus argenteus,Silver-backed Butcherbird
hoobut1,Cracticus cassicus,Hooded Butcherbird
tagbut1,Cracticus louisiadensis,Tagula Butcherbird
blbbut1,Cracticus mentalis,Black-backed Butcherbird
piebut1,Cracticus nigrogularis,Pied Butcherbird
blabut1,Cracticus quoyi,Black Butcherbird
grybut1,Cracticus torquatus,Gray Butcherbird
crcspi1,Cranioleuca albicapilla,Creamy-crested Spinetail
licspi1,Cranioleuca albiceps,Light-crowned Spinetail
licspi5,Cranioleuca antisiensis,Line-cheeked Spinetail
asbspi1,Cranioleuca curtata,Ash-browed Spinetail
tepspi1,Cranioleuca demissa,Tepui Spinetail
rubspi5,Cranioleuca dissita,Coiba Spinetail
refspi1,Cranioleuca erythrops,Red-faced Spinetail
spespi1,Cranioleuca gutturata,Speckled Spinetail
stcspi1,Cranioleuca hellmayri,Streak-capped Spinetail
bolspi1,Cranioleuca henricae,Bolivian Spinetail
marspi2,Cranioleuca marcapatae,Marcapata Spinetail
scaspi1,Cranioleuca muelleri,Scaled Spinetail
olispi1,Cranioleuca obsoleta,Olive Spinetail
palspi1,Cranioleuca pallida,Pallid Spinetail
stcspi2,Cranioleuca pyrrhophia,Stripe-crowned Spinetail
gyhspi1,Cranioleuca semicinerea,Gray-headed Spinetail
crespi1,Cranioleuca subcristata,Crested Spinetail
parspi1,Cranioleuca vulpecula,Parker's Spinetail
rubspi4,Cranioleuca vulpina,Rusty-backed Spinetail
rumwar1,Crateroscelis murina,Rusty Mouse-Warbler
bimwar1,Crateroscelis nigrorufa,Bicolored Mouse-Warbler
momwar1,Crateroscelis robusta,Mountain Mouse-Warbler
bubcur1,Crax alberti,Blue-billed Curassow
blacur1,Crax alector,Black Curassow
rebcur1,Crax blumenbachii,Red-billed Curassow
yekcur1,Crax daubentoni,Yellow-knobbed Curassow
bafcur1,Crax fasciolata,Bare-faced Curassow
watcur1,Crax globulosa,Wattled Curassow
grecur1,Crax rubra,Great Curassow
swtgul1,Creagrus furcatus,Swallow-tailed Gull
watsta1,Creatophora cinerea,Wattled Starling
slatan2,Creurgops dentatus,Slaty Tanager
ructan4,Creurgops verticalis,Rufous-crested Tanager
corcra,Crex crex,Corn Crake
afrcra1,Crex egregia,African Crake
wesple1,Crinifer piscator,Western Plantain-eater
easple1,Crinifer zonurus,Eastern Plantain-eater
wesbeg1,Criniger barbatus,Western Bearded-Greenbul
retgre1,Criniger calurus,Red-tailed Greenbul
easbeg1,Criniger chloronotus,Eastern Bearded-Greenbul
whbgre1,Criniger ndussumensis,White-bearded Greenbul
yebgre3,Criniger olivaceus,Yellow-bearded Greenbul
whtcan1,Crithagra albogularis,White-throated Canary
ankser2,Crithagra ankoberensis,Ankober Serin
bltcan1,Crithagra atrogularis,Black-throated Canary
sougrc1,Crithagra buchanani,Southern Grosbeak-Canary
thbsee1,Crithagra burtoni,Thick-billed Seedeater
sthsee3,Crithagra canicapilla,West African Seedeater
blfcan1,Crithagra capistrata,Black-faced Canary
afrcit1,Crithagra citrinelloides,African Citril
lebsee1,Crithagra citrinipectus,Lemon-breasted Seedeater
satgro1,Crithagra concolor,Sao Tome Grosbeak
norgrc1,Crithagra donaldsoni,Northern Grosbeak-Canary
whbcan1,Crithagra dorsostriata,White-bellied Canary
yetser1,Crithagra flavigula,Yellow-throated Serin
yelcan1,Crithagra flaviventris,Yellow Canary
wescit1,Crithagra frontalis,Western Citril
sthsee2,Crithagra gularis,Streaky-headed Seedeater
soucit1,Crithagra hyposticta,Southern Citril
papcan1,Crithagra koliensis,Papyrus Canary
procan1,Crithagra leucoptera,Protea Canary
whrsee,Crithagra leucopygia,White-rumped Seedeater
tansee1,Crithagra melanochroa,Tanzania Seedeater
yemser1,Crithagra menachensis,Yemen Serin
blesee1,Crithagra mennelli,Black-eared Seedeater
yefcan,Crithagra mozambica,Yellow-fronted Canary
reisee1,Crithagra reichardi,Reichard's Seedeater
reisee2,Crithagra reichenowi,Reichenow's Seedeater
olrser1,Crithagra rothschildi,Olive-rumped Serin
prisee1,Crithagra rufobrunnea,Principe Seedeater
forcan1,Crithagra scotops,Forest Canary
strsee1,Crithagra striolata,Streaky Seedeater
brican1,Crithagra sulphurata,Brimstone Canary
drasis2,Crithagra symonsi,Drakensberg Siskin
capsis2,Crithagra totta,Cape Siskin
brrsee1,Crithagra tristriata,Brown-rumped Seedeater
yebsee2,Crithagra whytii,Yellow-browed Seedeater
salser1,Crithagra xantholaema,Salvadori's Serin
yerser1,Crithagra xanthopygia,Yellow-rumped Serin
yeboxy1,Crossleyia xanthophrys,Yellow-browed Oxylabes
blephe1,Crossoptilon auritum,Blue Eared-Pheasant
whieap1,Crossoptilon crossoptilon,White Eared-Pheasant
whieap2,Crossoptilon harmani,Tibetan Eared-Pheasant
brephe1,Crossoptilon mantchuricum,Brown Eared-Pheasant
smbani,Crotophaga ani,Smooth-billed Ani
greani1,Crotophaga major,Greater Ani
grbani,Crotophaga sulcirostris,Groove-billed Ani
hootre1,Crypsirina cucullata,Hooded Treepie
rattre1,Crypsirina temia,Racket-tailed Treepie
viswar1,Cryptillas victorini,Victorin's Warbler
pluhaw,Cryptoleucopteryx plumbea,Plumbeous Hawk
spbant1,Cryptopezus nattereri,Speckle-breasted Antpitta
sompig2,Cryptophaps poecilorrhoa,Sombre Pigeon
greman2,Cryptopipo holochlora,Green Manakin
ducwin1,Cryptospiza jacksoni,Dusky Crimsonwing
rfcwin1,Cryptospiza reichenovii,Red-faced Crimsonwing
abcwin1,Cryptospiza salvadorii,Abyssinian Crimsonwing
shcwin1,Cryptospiza shelleyi,Shelley's Crimsonwing
crywar1,Cryptosylvicola randrianasoloi,Cryptic Warbler
blctin1,Crypturellus atrocapillus,Black-capped Tinamou
bartin2,Crypturellus bartletti,Bartlett's Tinamou
bertin1,Crypturellus berlepschi,Berlepsch's Tinamou
slbtin1,Crypturellus boucardi,Slaty-breasted Tinamou
rustin1,Crypturellus brevirostris,Rusty Tinamou
bartin1,Crypturellus casiquiare,Barred Tinamou
cintin1,Crypturellus cinereus,Cinereous Tinamou
thitin1,Crypturellus cinnamomeus,Thicket Tinamou
gyltin1,Crypturellus duidae,Gray-legged Tinamou
reltin1,Crypturellus erythropus,Red-legged Tinamou
chotin1,Crypturellus kerriae,Choco Tinamou
yeltin1,Crypturellus noctivagus,Yellow-legged Tinamou
brotin1,Crypturellus obsoletus,Brown Tinamou
smbtin1,Crypturellus parvirostris,Small-billed Tinamou
teptin1,Crypturellus ptaritepui,Tepui Tinamou
littin1,Crypturellus soui,Little Tinamou
bratin1,Crypturellus strigulosus,Brazilian Tinamou
tattin1,Crypturellus tataupa,Tataupa Tinamou
pabtin1,Crypturellus transfasciatus,Pale-browed Tinamou
undtin1,Crypturellus undulatus,Undulated Tinamou
vartin1,Crypturellus variegatus,Variegated Tinamou
comcuc,Cuculus canorus,Common Cuckoo
blacuc1,Cuculus clamosus,Black Cuckoo
suhcuc1,Cuculus crassirostris,Sulawesi Cuckoo
afrcuc1,Cuculus gularis,African Cuckoo
suncuc2,Cuculus lepidus,Sunda Cuckoo
indcuc1,Cuculus micropterus,Indian Cuckoo
oricuc2,Cuculus optatus,Oriental Cuckoo
lescuc1,Cuculus poliocephalus,Lesser Cuckoo
madcuc1,Cuculus rochii,Madagascar Cuckoo
himcuc1,Cuculus saturatus,Himalayan Cuckoo
reccuc1,Cuculus solitarius,Red-chested Cuckoo
gyhcaf1,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher
citcaf1,Culicicapa helianthea,Citrine Canary-Flycatcher
shttyr1,Culicivora caudacuta,Sharp-tailed Tyrant
ausbla1,Curaeus curaeus,Austral Blackbird
balwar1,Curruca balearica,Balearic Warbler
banwar2,Curruca boehmi,Banded Parisoma
yemwar1,Curruca buryi,Yemen Warbler
easwar1,Curruca cantillans,Eastern Subalpine Warbler
grewhi1,Curruca communis,Greater Whitethroat
spewar2,Curruca conspicillata,Spectacled Warbler
eaowar2,Curruca crassirostris,Eastern Orphean Warbler
leswhi4,Curruca curruca,Lesser Whitethroat
afdwar1,Curruca deserti,African Desert Warbler
triwar1,Curruca deserticola,Tristram's Warbler
weowar2,Curruca hortensis,Western Orphean Warbler
subwar6,Curruca iberiae,Western Subalpine Warbler
laywar2,Curruca layardi,Layard's Warbler
reswar1,Curruca leucomelaena,Arabian Warbler
brnwar1,Curruca lugens,Brown Parisoma
sarwar1,Curruca melanocephala,Sardinian Warbler
cypwar1,Curruca melanothorax,Cyprus Warbler
menwar1,Curruca mystacea,Menetries's Warbler
asdwar1,Curruca nana,Asian Desert Warbler
barwar1,Curruca nisoria,Barred Warbler
ruewar1,Curruca ruppeli,Rüppell's Warbler
marwar1,Curruca sarda,Marmora's Warbler
subwar8,Curruca subalpina,Moltoni's Warbler
ruvwar2,Curruca subcoerulea,Chestnut-vented Warbler
darwar1,Curruca undata,Dartford Warbler
indcou1,Cursorius coromandelicus,Indian Courser
crccou1,Cursorius cursor,Cream-colored Courser
burcou2,Cursorius rufus,Burchell's Courser
somcou1,Cursorius somalensis,Somali Courser
temcou1,Cursorius temminckii,Temminck's Courser
viecut1,Cutia legalleni,Vietnamese Cutia
cutia1,Cutia nipalensis,Himalayan Cutia
purhon1,Cyanerpes caeruleus,Purple Honeycreeper
relhon1,Cyanerpes cyaneus,Red-legged Honeycreeper
shihon1,Cyanerpes lucidus,Shining Honeycreeper
shbhon2,Cyanerpes nitidus,Short-billed Honeycreeper
blbtan2,Cyanicterus cyanicterus,Blue-backed Tanager
blutit,Cyanistes caeruleus,Eurasian Blue Tit
azutit2,Cyanistes cyanus,Azure Tit
afbtit2,Cyanistes teneriffae,African Blue Tit
buwgoo1,Cyanochen cyanoptera,Blue-winged Goose
blujay,Cyanocitta cristata,Blue Jay
stejay,Cyanocitta stelleri,Steller's Jay
blubun,Cyanocompsa parellina,Blue Bunting
blcjay1,Cyanocorax affinis,Black-chested Jay
pubjay1,Cyanocorax beecheii,Purplish-backed Jay
azujay1,Cyanocorax caeruleus,Azure Jay
cayjay1,Cyanocorax cayanus,Cayenne Jay
plcjay1,Cyanocorax chrysops,Plush-crested Jay
cucjay1,Cyanocorax cristatellus,Curl-crested Jay
purjay1,Cyanocorax cyanomelas,Purplish Jay
whnjay1,Cyanocorax cyanopogon,White-naped Jay
tufjay1,Cyanocorax dickeyi,Tufted Jay
aznjay1,Cyanocorax heilprini,Azure-naped Jay
bucjay1,Cyanocorax melanocyaneus,Bushy-crested Jay
whtjay2,Cyanocorax mystacalis,White-tailed Jay
sabjay,Cyanocorax sanblasianus,San Blas Jay
viojay1,Cyanocorax violaceus,Violaceous Jay
grnjay,Cyanocorax yncas,Green Jay
yucjay1,Cyanocorax yucatanicus,Yucatan Jay
bucbab1,Cyanoderma ambiguum,Buff-chested Babbler
golbab1,Cyanoderma chrysaeum,Golden Babbler
chwbab1,Cyanoderma erythropterum,Chestnut-winged Babbler
crcbab1,Cyanoderma melanothorax,Crescent-chested Babbler
blcbab2,Cyanoderma pyrrhops,Black-chinned Babbler
rucbab1,Cyanoderma ruficeps,Rufous-capped Babbler
rufbab2,Cyanoderma rufifrons,Rufous-fronted Babbler
blucus1,Cyanograucalus azureus,Blue Cuckooshrike
bluvan1,Cyanolanius madagascarinus,Blue Vanga
zaprai1,Cyanolimnas cerverai,Zapata Rail
burpar,Cyanoliseus patagonus,Burrowing Parakeet
ultgro1,Cyanoloxia brissonii,Ultramarine Grosbeak
bubgro1,Cyanoloxia cyanoides,Blue-black Grosbeak
glbgro1,Cyanoloxia glaucocaerulea,Glaucous-blue Grosbeak
bubgro2,Cyanoloxia rothschildii,Amazonian Grosbeak
sitjay1,Cyanolyca argentigula,Silvery-throated Jay
blcjay2,Cyanolyca armillata,Black-collared Jay
azhjay1,Cyanolyca cucullata,Azure-hooded Jay
whtjay1,Cyanolyca mirabilis,White-throated Jay
dwajay1,Cyanolyca nanus,Dwarf Jay
beajay1,Cyanolyca pulchra,Beautiful Jay
bltjay1,Cyanolyca pumilo,Black-throated Jay
turjay1,Cyanolyca turcosa,Turquoise Jay
whcjay2,Cyanolyca viridicyanus,White-collared Jay
buhsun1,Cyanomitra alinae,Blue-headed Sunbird
bansun3,Cyanomitra bannermani,Bannerman's Sunbird
btbsun2,Cyanomitra cyanolaema,Blue-throated Brown Sunbird
eaosun1,Cyanomitra olivacea,Olive Sunbird
camsun2,Cyanomitra oritis,Cameroon Sunbird
mocsun2,Cyanomitra veroxii,Mouse-colored Sunbird
gnhsun1,Cyanomitra verticalis,Green-headed Sunbird
azwmag3,Cyanopica cooki,Iberian Magpie
azwmag2,Cyanopica cyanus,Azure-winged Magpie
spimac1,Cyanopsitta spixii,Spix's Macaw
zapfly1,Cyanoptila cumatilis,Zappey's Flycatcher
bawfly2,Cyanoptila cyanomelana,Blue-and-white Flycatcher
yefpar3,Cyanoramphus auriceps,Yellow-crowned Parakeet
noipar1,Cyanoramphus cookii,Norfolk Island Parakeet
chipar1,Cyanoramphus forbesi,Chatham Islands Parakeet
reipar1,Cyanoramphus hochstetteri,Reischek's Parakeet
malpar2,Cyanoramphus malherbi,Malherbe's Parakeet
refpar4,Cyanoramphus novaezelandiae,Red-crowned Parakeet
necpar1,Cyanoramphus saisseti,New Caledonian Parakeet
raipar1,Cyanoramphus ulietanus,Raiatea Parakeet
antpar1,Cyanoramphus unicolor,Antipodes Parakeet
blfpar2,Cyanoramphus zealandicus,Black-fronted Parakeet
rubpep1,Cyclarhis gujanensis,Rufous-browed Peppershrike
blbpep1,Cyclarhis nigrirostris,Black-billed Peppershrike
defpar1,Cyclopsitta diophthalma,Double-eyed Fig-Parrot
obfpar1,Cyclopsitta gulielmitertii,Orange-breasted Fig-Parrot
blkswa,Cygnus atratus,Black Swan
truswa,Cygnus buccinator,Trumpeter Swan
tunswa,Cygnus columbianus,Tundra Swan
whoswa,Cygnus cygnus,Whooper Swan
blnswa2,Cygnus melancoryphus,Black-necked Swan
mutswa,Cygnus olor,Mute Swan
fasant1,Cymbilaimus lineatus,Fasciated Antshrike
bamant1,Cymbilaimus sanctaemariae,Bamboo Antshrike
barbro1,Cymbirhynchus macrorhynchos,Black-and-red Broadbill
goceme1,Cynanthus auriceps,Golden-crowned Emerald
caneme1,Cynanthus canivetii,Canivet's Emerald
brbhum2,Cynanthus doubledayi,Turquoise-crowned Hummingbird
cozeme1,Cynanthus forficatus,Cozumel Emerald
brbhum,Cynanthus latirostris,Broad-billed Hummingbird
hibfly3,Cyornis banyumas,Javan Blue Flycatcher
bncjuf1,Cyornis brunneatus,Brown-chested Jungle-Flycatcher
lobblf1,Cyornis caerulatus,Sunda Blue Flycatcher
suljuf1,Cyornis colonus,Sula Jungle-Flycatcher
whtfly2,Cyornis concretus,White-tailed Flycatcher
butfly2,Cyornis glaucicomans,Chinese Blue Flycatcher
habfly1,Cyornis hainanus,Hainan Blue Flycatcher
blbfly3,Cyornis herioti,Blue-breasted Flycatcher
blffly1,Cyornis hoevelli,Blue-fronted Flycatcher
tibfly2,Cyornis hyacinthinus,Timor Blue Flycatcher
pabfly1,Cyornis lemprieri,Palawan Blue Flycatcher
larblf1,Cyornis magnirostris,Large Blue Flycatcher
hibfly4,Cyornis montanus,Dayak Blue Flycatcher
nicjuf1,Cyornis nicobaricus,Nicobar Jungle-Flycatcher
fucjuf1,Cyornis olivaceus,Fulvous-chested Jungle-Flycatcher
subfly1,Cyornis omissus,Sulawesi Blue Flycatcher
flojuf1,Cyornis oscillans,Flores Jungle-Flycatcher
wbbfly1,Cyornis pallidipes,White-bellied Blue Flycatcher
banjuf1,Cyornis pelingensis,Banggai Jungle-Flycatcher
pacblf1,Cyornis poliogenys,Pale-chinned Blue Flycatcher
butfly1,Cyornis rubeculoides,Blue-throated Flycatcher
rubfly1,Cyornis ruckii,Rück's Blue Flycatcher
chtjuf1,Cyornis ruficauda,Chestnut-tailed Jungle-Flycatcher
mabfly2,Cyornis rufigastra,Mangrove Blue Flycatcher
matfly2,Cyornis sanfordi,Matinan Flycatcher
tibfly4,Cyornis sumatrensis,Indochinese Blue Flycatcher
bobfly2,Cyornis superbus,Bornean Blue Flycatcher
tibfly3,Cyornis tickelliae,Tickell's Blue Flycatcher
mabfly1,Cyornis turcosus,Malaysian Blue Flycatcher
gycjuf1,Cyornis umbratilis,Gray-chested Jungle-Flycatcher
pabfly2,Cyornis unicolor,Pale Blue Flycatcher
hibfly1,Cyornis whitei,Hill Blue Flycatcher
muswre2,Cyphorhinus arada,Musician Wren
sonwre1,Cyphorhinus phaeocephalus,Song Wren
chbwre1,Cyphorhinus thoracicus,Chestnut-breasted Wren
spfswi1,Cypseloides cherriei,Spot-fronted Swift
whcswi1,Cypseloides cryptus,White-chinned Swift
sooswi1,Cypseloides fumigatus,Sooty Swift
whcswi2,Cypseloides lemosi,White-chested Swift
blkswi,Cypseloides niger,Black Swift
rotswi1,Cypseloides rothschildi,Rothschild's Swift
grdswi1,Cypseloides senex,Great Dusky Swift
whfswi1,Cypseloides storeri,White-fronted Swift
aspswi1,Cypsiurus balasiensis,Asian Palm-Swift
malpas1,Cypsiurus gracilis,Malagasy Palm-Swift
afpswi1,Cypsiurus parvus,African Palm-Swift
whrtan1,Cypsnagra hirundinacea,White-rumped Tanager
monqua,Cyrtonyx montezumae,Montezuma Quail
ocequa1,Cyrtonyx ocellatus,Ocellated Quail
rubkoo1,Dacelo gaudichaud,Rufous-bellied Kookaburra
blwkoo1,Dacelo leachii,Blue-winged Kookaburra
laukoo1,Dacelo novaeguineae,Laughing Kookaburra
spakoo1,Dacelo tyro,Spangled Kookaburra
whbdac1,Dacnis albiventris,White-bellied Dacnis
scbdac1,Dacnis berlepschi,Scarlet-breasted Dacnis
bludac1,Dacnis cayana,Blue Dacnis
yebdac1,Dacnis flaviventer,Yellow-bellied Dacnis
turdac1,Dacnis hartlaubi,Turquoise Dacnis
blfdac1,Dacnis lineata,Black-faced Dacnis
blldac1,Dacnis nigripes,Black-legged Dacnis
sctdac1,Dacnis venusta,Scarlet-thighed Dacnis
virdac1,Dacnis viguieri,Viridian Dacnis
sinqua1,Dactylortyx thoracicus,Singing Quail
varsit8,Daphoenositta chrysoptera,Varied Sittella
blksit1,Daphoenositta miranda,Black Sittella
varsit1,Daphoenositta papuensis,Papuan Sittella
cappet,Daption capense,Cape Petrel
blacar1,Daptrius ater,Black Caracara
pygbab1,Dasycrotapha plateni,Mindanao Pygmy-Babbler
vispyb1,Dasycrotapha pygmaea,Visayan Pygmy-Babbler
fltbab1,Dasycrotapha speciosa,Flame-templed Babbler
scfmal1,Dasylophus cumingi,Scale-feathered Malkoha
recmal1,Dasylophus superciliosus,Red-crested Malkoha
easbri1,Dasyornis brachypterus,Eastern Bristlebird
rufbri1,Dasyornis broadbenti,Rufous Bristlebird
wesbri1,Dasyornis longirostris,Western Bristlebird
lotwoo1,Deconychura longicauda,Long-tailed Woodcreeper
gyholi1,Delacourella capistrata,Gray-headed Oliveback
gyhsun1,Deleornis axillaris,Gray-headed Sunbird
sctsun2,Deleornis fraseri,Fraser's Sunbird
ashmar1,Delichon dasypus,Asian House-Martin
nephom1,Delichon nipalense,Nepal House-Martin
cohmar1,Delichon urbicum,Common House-Martin
soogro1,Dendragapus fuliginosus,Sooty Grouse
dusgro,Dendragapus obscurus,Dusky Grouse
citwoo1,Dendrexetastes rufigula,Cinnamon-throated Woodcreeper
tawwoo1,Dendrocincla anabatina,Tawny-winged Woodcreeper
plbwoo1,Dendrocincla fuliginosa,Plain-brown Woodcreeper
rudwoo1,Dendrocincla homochroa,Ruddy Woodcreeper
whcwoo1,Dendrocincla merula,White-chinned Woodcreeper
plwwoo1,Dendrocincla turdina,Plain-winged Woodcreeper
tyrwoo1,Dendrocincla tyrannina,Tyrannine Woodcreeper
andtre1,Dendrocitta bayleii,Andaman Treepie
bortre1,Dendrocitta cinerascens,Bornean Treepie
grytre1,Dendrocitta formosae,Gray Treepie
coltre1,Dendrocitta frontalis,Collared Treepie
whbtre1,Dendrocitta leucogastra,White-bellied Treepie
sumtre1,Dendrocitta occipitalis,Sumatran Treepie
ruftre2,Dendrocitta vagabunda,Rufous Treepie
amabaw1,Dendrocolaptes certhia,Amazonian Barred-Woodcreeper
hofwoo2,Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper
blbwoo1,Dendrocolaptes picumnus,Black-banded Woodcreeper
plawoo1,Dendrocolaptes platyrostris,Planalto Woodcreeper
nobwoo1,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper
frbwoo1,Dendrocopos analis,Freckle-breasted Woodpecker
sinwoo1,Dendrocopos assimilis,Sind Woodpecker
stbwoo4,Dendrocopos atratus,Stripe-breasted Woodpecker
darwoo1,Dendrocopos darjellensis,Darjeeling Woodpecker
himwoo1,Dendrocopos himalayensis,Himalayan Woodpecker
rubwoo1,Dendrocopos hyperythrus,Rufous-bellied Woodpecker
whwwoo1,Dendrocopos leucopterus,White-winged Woodpecker
whbwoo1,Dendrocopos leucotos,White-backed Woodpecker
fubwoo2,Dendrocopos macei,Fulvous-breasted Woodpecker
grswoo,Dendrocopos major,Great Spotted Woodpecker
okiwoo1,Dendrocopos noguchii,Okinawa Woodpecker
syrwoo1,Dendrocopos syriacus,Syrian Woodpecker
brfwoo1,Dendrocoptes auriceps,Brown-fronted Woodpecker
arawoo1,Dendrocoptes dorae,Arabian Woodpecker
miswoo1,Dendrocoptes medius,Middle Spotted Woodpecker
wiwduc1,Dendrocygna arborea,West Indian Whistling-Duck
wawduc1,Dendrocygna arcuata,Wandering Whistling-Duck
bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck
fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck
plwduc1,Dendrocygna eytoni,Plumed Whistling-Duck
spwduc1,Dendrocygna guttata,Spotted Whistling-Duck
lewduc1,Dendrocygna javanica,Lesser Whistling-Duck
wfwduc1,Dendrocygna viduata,White-faced Whistling-Duck
chwfog1,Dendroma erythroptera,Chestnut-winged Foliage-gleaner
bffgle,Dendroma rufa,Buff-fronted Foliage-gleaner
forwag1,Dendronanthus indicus,Forest Wagtail
zimwoo2,Dendroplex kienerii,Zimmer's Woodcreeper
stbwoo2,Dendroplex picus,Straight-billed Woodcreeper
bewpar1,Dendrortyx barbatus,Bearded Wood-Partridge
bcwpar1,Dendrortyx leucophrys,Buffy-crowned Wood-Partridge
ltwpar1,Dendrortyx macroura,Long-tailed Wood-Partridge
refpar3,Deroptyus accipitrinus,Red-fan Parrot
hawrai1,Diaphorapteryx hawkinsi,Hawkins's Rail
midflo1,Dicaeum aeneum,Midget Flowerpecker
thbflo1,Dicaeum agile,Thick-billed Flowerpecker
gorflo1,Dicaeum annae,Golden-rumped Flowerpecker
flcflo1,Dicaeum anthonyi,Flame-crowned Flowerpecker
yesflo1,Dicaeum aureolimbatum,Yellow-sided Flowerpecker
resflo1,Dicaeum australe,Red-keeled Flowerpecker
bicflo1,Dicaeum bicolor,Bicolored Flowerpecker
gysflo1,Dicaeum celebicum,Gray-sided Flowerpecker
yevflo1,Dicaeum chrysorrheum,Yellow-vented Flowerpecker
plaflo1,Dicaeum concolor,Nilgiri Flowerpecker
scbflo1,Dicaeum cruentatum,Scarlet-backed Flowerpecker
speflo1,Dicaeum dayakorum,Spectacled Flowerpecker
pabflo1,Dicaeum erythrorhynchos,Pale-billed Flowerpecker
flbflo2,Dicaeum erythrothorax,Buru Flowerpecker
brbflo1,Dicaeum everetti,Brown-backed Flowerpecker
rebflo1,Dicaeum eximium,Red-banded Flowerpecker
