scientificName,eBird_Species_Code,eBird_common_name
Theristicus branickii,bkfibi2,Andean Ibis
Threskiornis aethiopicus,sacibi2,African Sacred Ibis
Threskiornis bernieri,sacibi3,Malagasy Sacred Ibis
Threskiornis solitarius,reusol1,Reunion Ibis
Threskiornis melanocephalus,blhibi1,Black-headed Ibis
Threskiornis molucca,ausibi1,Australian Ibis
Threskiornis spinicollis,stnibi1,Straw-necked Ibis
Pseudibis papillosa,renibi1,Red-naped Ibis
Pseudibis davisoni,whsibi1,White-shouldered Ibis
Pseudibis gigantea,giaibi1,Giant Ibis
Geronticus eremita,waldra1,Northern Bald Ibis
Geronticus calvus,balibi1,Southern Bald Ibis
Nipponia nippon,creibi1,Crested Ibis
Bostrychia olivacea,oliibi2,Olive Ibis
Bostrychia bocagei,oliibi3,Sao Tome Ibis
Bostrychia rara,spbibi1,Spot-breasted Ibis
Bostrychia hagedash,hadibi1,Hadada Ibis
Bostrychia carunculata,watibi1,Wattled Ibis
Platalea leucorodia,eurspo1,Eurasian Spoonbill
Platalea regia,royspo1,Royal Spoonbill
Platalea alba,afrspo1,African Spoonbill
Platalea minor,blfspo1,Black-faced Spoonbill
Platalea flavipes,yebspo1,Yellow-billed Spoonbill
Platalea ajaja,rosspo1,Roseate Spoonbill
Gymnogyps californianus,calcon,California Condor
Vultur gryphus,andcon1,Andean Condor
Sarcoramphus papa,kinvul1,King Vulture
Coragyps atratus,blkvul,Black Vulture
Cathartes aura,turvul,Turkey Vulture
Cathartes burrovianus,lyhvul1,Lesser Yellow-headed Vulture
Cathartes melambrotus,gyhvul1,Greater Yellow-headed Vulture
Sagittarius serpentarius,secret2,Secretarybird
Pandion haliaetus,osprey,Osprey
Gampsonyx swainsonii,peakit1,Pearl Kite
Elanus caeruleus,bkskit1,Black-winged Kite
Elanus axillaris,auskit1,Black-shouldered Kite
Elanus leucurus,whtkit,White-tailed Kite
Elanus scriptus,lewkit1,Letter-winged Kite
Chelictinia riocourii,sctkit1,Scissor-tailed Kite
Polyboroides typus,afhhaw1,African Harrier-Hawk
Polyboroides radiatus,mahhaw1,Madagascar Harrier-Hawk
Gypohierax angolensis,panvul1,Palm-nut Vulture
Eutriorchis astur,maseag1,Madagascar Serpent-Eagle
Gypaetus barbatus,lammer1,Bearded Vulture
Neophron percnopterus,egyvul1,Egyptian Vulture
Chondrohierax uncinatus,hobkit,Hook-billed Kite
Chondrohierax wilsonii,hobkit2,Cuban Kite
Leptodon cayanensis,grhkit1,Gray-headed Kite
Leptodon forbesi,whckit1,White-collared Kite
Pernis apivorus,euhbuz1,European Honey-buzzard
Pernis celebensis,barhob1,Sulawesi Honey-buzzard
Pernis steerei,barhob2,Philippine Honey-buzzard
Pernis ptilorhynchus,orihob2,Oriental Honey-buzzard
Elanoides forficatus,swtkit,Swallow-tailed Kite
Hamirostra melanosternon,bkbkit1,Black-breasted Kite
Henicopernis longicauda,lthbuz1,Long-tailed Honey-buzzard
Henicopernis infuscatus,blhbuz1,Black Honey-buzzard
Lophoictinia isura,sqtkit1,Square-tailed Kite
Aviceda cuculoides,afrcuh1,African Cuckoo-Hawk
Aviceda madagascariensis,madcuh1,Madagascar Cuckoo-Hawk
Aviceda jerdoni,jerbaz1,Jerdon's Baza
Aviceda subcristata,pacbaz1,Pacific Baza
Aviceda leuphotes,blabaz1,Black Baza
Sarcogyps calvus,rehvul1,Red-headed Vulture
Trigonoceps occipitalis,whhvul1,White-headed Vulture
Aegypius monachus,cinvul1,Cinereous Vulture
Torgos tracheliotos,lafvul1,Lappet-faced Vulture
Necrosyrtes monachus,hoovul1,Hooded Vulture
Gyps africanus,whbvul1,White-backed Vulture
Gyps bengalensis,whrvul1,White-rumped Vulture
Gyps indicus,indvul1,Indian Vulture
Gyps tenuirostris,slbvul1,Slender-billed Vulture
Gyps rueppelli,ruegri1,Rüppell's Griffon
Gyps himalayensis,himgri1,Himalayan Griffon
Gyps fulvus,eurgri1,Eurasian Griffon
Gyps coprotheres,capgri1,Cape Griffon
Spilornis klossi,nicsee1,Nicobar Serpent-Eagle
Spilornis rufipectus,suseag1,Sulawesi Serpent-Eagle
Spilornis kinabaluensis,moseag1,Mountain Serpent-Eagle
Spilornis cheela,crseag1,Crested Serpent-Eagle
Spilornis holospilus,phseag1,Philippine Serpent-Eagle
Spilornis elgini,anseag1,Andaman Serpent-Eagle
Pithecophaga jefferyi,grpeag1,Philippine Eagle
Dryotriorchis spectabilis,coseag1,Congo Serpent-Eagle
Terathopius ecaudatus,batele1,Bateleur
Circaetus gallicus,shteag1,Short-toed Snake-Eagle
Circaetus beaudouini,beasne1,Beaudouin's Snake-Eagle
Circaetus pectoralis,bkbsne1,Black-chested Snake-Eagle
Circaetus cinereus,brseag1,Brown Snake-Eagle
Circaetus fasciolatus,faseag1,Fasciated Snake-Eagle
Circaetus cinerascens,baseag1,Banded Snake-Eagle
Macheiramphus alcinus,bathaw1,Bat Hawk
Harpyopsis novaeguineae,negeag1,New Guinea Eagle
Morphnus guianensis,creeag1,Crested Eagle
Harpia harpyja,hareag1,Harpy Eagle
Stephanoaetus coronatus,crheag1,Crowned Eagle
Nisaetus kelaarti,mouhae2,Legge's Hawk-Eagle
Nisaetus nanus,walhae1,Wallace's Hawk-Eagle
Nisaetus nipalensis,mouhae1,Mountain Hawk-Eagle
Nisaetus alboniger,blyhae1,Blyth's Hawk-Eagle
Nisaetus bartelsi,javhae1,Javan Hawk-Eagle
Nisaetus pinskeri,pinhae1,Pinsker's Hawk-Eagle
Nisaetus lanceolatus,sulhae1,Sulawesi Hawk-Eagle
Nisaetus philippensis,phihae1,Philippine Hawk-Eagle
Nisaetus cirrhatus,y00839,Changeable Hawk-Eagle
Nisaetus floris,flohae1,Flores Hawk-Eagle
Polemaetus bellicosus,mareag1,Martial Eagle
Lophotriorchis kienerii,rubeag2,Rufous-bellied Eagle
Spizaetus tyrannus,blheag1,Black Hawk-Eagle
Spizaetus ornatus,orheag1,Ornate Hawk-Eagle
Spizaetus melanoleucus,bawhae1,Black-and-white Hawk-Eagle
Spizaetus isidori,baceag2,Black-and-chestnut Eagle
Lophaetus occipitalis,loceag1,Long-crested Eagle
Ictinaetus malaiensis,blaeag1,Black Eagle
Clanga pomarina,leseag1,Lesser Spotted Eagle
Clanga hastata,inseag1,Indian Spotted Eagle
Clanga clanga,grseag1,Greater Spotted Eagle
Hieraaetus wahlbergi,waheag3,Wahlberg's Eagle
Hieraaetus pennatus,booeag1,Booted Eagle
Hieraaetus weiskei,liteag3,Pygmy Eagle
Hieraaetus morphnoides,liteag1,Little Eagle
Hieraaetus ayresii,ayheag1,Ayres's Hawk-Eagle
Aquila rapax,taweag1,Tawny Eagle
Aquila nipalensis,steeag1,Steppe Eagle
Aquila adalberti,spaeag1,Spanish Eagle
Aquila heliaca,impeag1,Imperial Eagle
Aquila gurneyi,gureag1,Gurney's Eagle
Aquila chrysaetos,goleag,Golden Eagle
Aquila audax,weteag1,Wedge-tailed Eagle
Aquila africana,cashae1,Cassin's Hawk-Eagle
Aquila verreauxii,vereag1,Verreaux's Eagle
Aquila fasciata,boneag2,Bonelli's Eagle
Aquila spilogaster,afrhae1,African Hawk-Eagle
Kaupifalco monogrammicus,lizbuz1,Lizard Buzzard
Microspizias superciliosus,tinhaw1,Tiny Hawk
Microspizias collaris,semhaw2,Semicollared Hawk
Melierax metabates,dacgos1,Dark Chanting-Goshawk
Melierax poliopterus,eacgos1,Eastern Chanting-Goshawk
Melierax canorus,pacgos1,Pale Chanting-Goshawk
Micronisus gabar,gabgos2,Gabar Goshawk
Busarellus nigricollis,blchaw1,Black-collared Hawk
Rostrhamus sociabilis,snakit,Snail Kite
Helicolestes hamatus,slbkit1,Slender-billed Kite
Harpagus bidentatus,dotkit1,Double-toothed Kite
Harpagus diodon,rutkit1,Rufous-thighed Kite
Ictinia mississippiensis,miskit,Mississippi Kite
Ictinia plumbea,plukit1,Plumbeous Kite
Butastur rufipennis,grabuz1,Grasshopper Buzzard
Butastur teesa,whebuz1,White-eyed Buzzard
Butastur liventer,ruwbuz1,Rufous-winged Buzzard
Butastur indicus,gyfbuz1,Gray-faced Buzzard
Circus aeruginosus,wemhar1,Eurasian Marsh-Harrier
Circus ranivorus,afmhar1,African Marsh-Harrier
Circus spilonotus,easmah1,Eastern Marsh-Harrier
Circus spilothorax,easmah2,Papuan Marsh-Harrier
Circus approximans,swahar1,Swamp Harrier
Circus maillardi,reuhar2,Reunion Harrier
Circus macrosceles,reuhar3,Malagasy Harrier
Circus buffoni,lowhar1,Long-winged Harrier
Circus assimilis,spohar1,Spotted Harrier
Circus maurus,blahar1,Black Harrier
Circus cinereus,cinhar1,Cinereous Harrier
Circus cyaneus,norhar1,Hen Harrier
Circus hudsonius,norhar2,Northern Harrier
Circus macrourus,palhar1,Pallid Harrier
Circus melanoleucos,piehar1,Pied Harrier
Circus pygargus,monhar1,Montagu's Harrier
Accipiter poliogaster,gybhaw1,Gray-bellied Hawk
Accipiter trivirgatus,cregos1,Crested Goshawk
Accipiter griseiceps,sulgos1,Sulawesi Goshawk
Accipiter tachiro,afrgos1,African Goshawk
Accipiter castanilius,chfspa1,Chestnut-flanked Sparrowhawk
Accipiter badius,shikra1,Shikra
Accipiter butleri,nicspa1,Nicobar Sparrowhawk
Accipiter brevipes,levspa1,Levant Sparrowhawk
Accipiter soloensis,grfhaw1,Chinese Sparrowhawk
Accipiter francesiae,fragos2,Frances's Sparrowhawk
Accipiter trinotatus,sptgos1,Spot-tailed Goshawk
Accipiter hiogaster,vargos1,Variable Goshawk
Accipiter novaehollandiae,grygos1,Gray Goshawk
Accipiter fasciatus,brogos1,Brown Goshawk
Accipiter melanochlamys,blmgos1,Black-mantled Goshawk
Accipiter albogularis,piegos1,Pied Goshawk
Accipiter haplochrous,necgos1,New Caledonia Goshawk
Accipiter rufitorques,fijgos1,Fiji Goshawk
Accipiter henicogrammus,molgos1,Moluccan Goshawk
Accipiter luteoschistaceus,slmgos1,Slaty-mantled Goshawk
Accipiter imitator,imispa1,Imitator Sparrowhawk
Accipiter poliocephalus,gyhgos1,Gray-headed Goshawk
Accipiter princeps,nebgos1,New Britain Goshawk
Accipiter erythropus,retspa1,Red-thighed Sparrowhawk
Accipiter minullus,litspa1,Little Sparrowhawk
Accipiter gularis,japspa1,Japanese Sparrowhawk
Accipiter nanus,smaspa1,Small Sparrowhawk
Accipiter virgatus,besra1,Besra
Accipiter erythrauchen,runspa1,Rufous-necked Sparrowhawk
Accipiter cirrocephalus,colspa1,Collared Sparrowhawk
Accipiter brachyurus,nebspa1,New Britain Sparrowhawk
Accipiter rhodogaster,vibspa1,Vinous-breasted Sparrowhawk
Accipiter madagascariensis,madspa1,Madagascar Sparrowhawk
Accipiter ovampensis,ovaspa2,Ovambo Sparrowhawk
Accipiter nisus,eurspa1,Eurasian Sparrowhawk
Accipiter rufiventris,rucspa2,Rufous-breasted Sparrowhawk
Accipiter striatus,shshaw,Sharp-shinned Hawk
Accipiter cooperii,coohaw,Cooper's Hawk
Accipiter gundlachi,gunhaw1,Gundlach's Hawk
Accipiter bicolor,bichaw1,Bicolored Hawk
Accipiter chilensis,bichaw4,Chilean Hawk
Accipiter melanoleucus,blagos1,Black Goshawk
Accipiter henstii,hengos1,Henst's Goshawk
Accipiter gentilis,norgos,Northern Goshawk
Accipiter meyerianus,meygos1,Meyer's Goshawk
Erythrotriorchis buergersi,chsgos1,Chestnut-shouldered Goshawk
Erythrotriorchis radiatus,redgos1,Red Goshawk
Megatriorchis doriae,dorgos1,Doria's Goshawk
Urotriorchis macrourus,lothaw1,Long-tailed Hawk
Milvus milvus,redkit1,Red Kite
Milvus migrans,blakit1,Black Kite
Haliastur sphenurus,whikit1,Whistling Kite
Haliastur indus,brakit1,Brahminy Kite
Haliaeetus leucocephalus,baleag,Bald Eagle
Haliaeetus albicilla,whteag,White-tailed Eagle
Haliaeetus leucoryphus,pafeag1,Pallas's Fish-Eagle
Haliaeetus pelagicus,stseag,Steller's Sea-Eagle
Haliaeetus leucogaster,wbseag1,White-bellied Sea-Eagle
Haliaeetus sanfordi,solsee1,Sanford's Sea-Eagle
Haliaeetus vocifer,affeag1,African Fish-Eagle
Haliaeetus vociferoides,mafeag1,Madagascar Fish-Eagle
Haliaeetus humilis,lefeag1,Lesser Fish-Eagle
Haliaeetus ichthyaetus,gyhfie1,Gray-headed Fish-Eagle
Geranospiza caerulescens,crahaw,Crane Hawk
Cryptoleucopteryx plumbea,pluhaw,Plumbeous Hawk
Buteogallus schistaceus,slchaw2,Slate-colored Hawk
Buteogallus anthracinus,comblh1,Common Black Hawk
Buteogallus gundlachii,cubblh1,Cuban Black Hawk
Buteogallus aequinoctialis,ruchaw1,Rufous Crab Hawk
Buteogallus meridionalis,savhaw1,Savanna Hawk
Buteogallus lacernulatus,whnhaw2,White-necked Hawk
Buteogallus urubitinga,grbhaw1,Great Black Hawk
Buteogallus solitarius,soleag1,Solitary Eagle
Buteogallus coronatus,croeag1,Chaco Eagle
Morphnarchus princeps,barhaw1,Barred Hawk
Rupornis magnirostris,roahaw,Roadside Hawk
Parabuteo unicinctus,hrshaw,Harris's Hawk
Parabuteo leucorrhous,whrhaw1,White-rumped Hawk
Geranoaetus albicaudatus,whthaw,White-tailed Hawk
Geranoaetus polyosoma,rebhaw2,Variable Hawk
Geranoaetus melanoleucus,bcbeag1,Black-chested Buzzard-Eagle
Pseudastur polionotus,manhaw2,Mantled Hawk
Pseudastur albicollis,whihaw1,White Hawk
Pseudastur occidentalis,gybhaw2,Gray-backed Hawk
Leucopternis semiplumbeus,semhaw,Semiplumbeous Hawk
Leucopternis melanops,blfhaw1,Black-faced Hawk
Leucopternis kuhli,whbhaw2,White-browed Hawk
Bermuteo avivorus,berhaw1,Bermuda Hawk
Buteo plagiatus,gryhaw2,Gray Hawk
Buteo nitidus,gryhaw3,Gray-lined Hawk
Buteo lineatus,reshaw,Red-shouldered Hawk
Buteo ridgwayi,ridhaw1,Ridgway's Hawk
Buteo platypterus,brwhaw,Broad-winged Hawk
Buteo solitarius,hawhaw,Hawaiian Hawk
Buteo brachyurus,shthaw,Short-tailed Hawk
Buteo albigula,whthaw1,White-throated Hawk
Buteo swainsoni,swahaw,Swainson's Hawk
Buteo galapagoensis,galhaw1,Galapagos Hawk
Buteo albonotatus,zothaw,Zone-tailed Hawk
Buteo ventralis,ruthaw1,Rufous-tailed Hawk
Buteo jamaicensis,rethaw,Red-tailed Hawk
Buteo lagopus,rolhaw,Rough-legged Hawk
Buteo regalis,ferhaw,Ferruginous Hawk
Buteo buteo,combuz1,Common Buzzard
Buteo refectus,combuz9,Himalayan Buzzard
Buteo japonicus,combuz6,Eastern Buzzard
Buteo oreophilus,moubuz2,Mountain Buzzard
Buteo trizonatus,moubuz3,Forest Buzzard
Buteo brachypterus,madbuz1,Madagascar Buzzard
Buteo socotraensis,socbuz1,Socotra Buzzard
Buteo rufinus,lolbuz1,Long-legged Buzzard
Buteo hemilasius,uplbuz1,Upland Buzzard
Buteo auguralis,renbuz1,Red-necked Buzzard
Buteo augur,augbuz2,Augur Buzzard
Buteo rufofuscus,jacbuz1,Jackal Buzzard
Tyto tenebricosa,sooowl1,Sooty Owl
Tyto novaehollandiae,aumowl1,Australian Masked-Owl
Tyto aurantia,nebmao1,Golden Masked-Owl
Tyto almae,sermao1,Seram Masked-Owl
Tyto sororcula,lemowl1,Lesser Masked-Owl
Tyto manusi,manowl2,Manus Masked-Owl
Tyto nigrobrunnea,talowl1,Taliabu Masked-Owl
Tyto inexspectata,minowl1,Minahasa Masked-Owl
Tyto rosenbergii,sulowl1,Sulawesi Masked-Owl
Tyto prigoginei,cobowl1,Itombwe Owl
Tyto longimembris,ausgro1,Australasian Grass-Owl
Tyto capensis,afgowl1,African Grass-Owl
Tyto alba,brnowl,Barn Owl
Tyto deroepstorffi,barowl5,Andaman Masked-Owl
Tyto glaucops,asfowl1,Ashy-faced Owl
Tyto soumagnei,marowl1,Red Owl
Phodilus badius,orbowl1,Oriental Bay-Owl
Phodilus assimilis,srlbao1,Sri Lanka Bay-Owl
Otus sagittatus,wfsowl2,White-fronted Scops-Owl
Otus balli,ansowl1,Andaman Scops-Owl
Otus rufescens,resowl1,Reddish Scops-Owl
Otus thilohoffmanni,sersco1,Serendib Scops-Owl
Otus icterorhynchus,sasowl1,Sandy Scops-Owl
Otus ireneae,sosowl1,Sokoke Scops-Owl
Otus alfredi,flsowl1,Flores Scops-Owl
Otus spilocephalus,mosowl2,Mountain Scops-Owl
Otus brookii,rasowl1,Rajah Scops-Owl
Otus angelinae,jasowl2,Javan Scops-Owl
Otus mentawi,mesowl1,Mentawai Scops-Owl
Otus bakkamoena,insowl1,Indian Scops-Owl
Otus lettia,cosowl1,Collared Scops-Owl
Otus gurneyi,mineao1,Giant Scops-Owl
Otus lempiji,susowl2,Sunda Scops-Owl
Otus semitorques,jasowl1,Japanese Scops-Owl
Otus silvicola,wasowl1,Wallace's Scops-Owl
Otus fuliginosus,pasowl2,Palawan Scops-Owl
Otus megalotis,phsowl1,Philippine Scops-Owl
Otus everetti,evesco1,Everett's Scops-Owl
Otus nigrorum,negsco1,Negros Scops-Owl
Otus mindorensis,misowl2,Mindoro Scops-Owl
Otus magicus,mosowl1,Moluccan Scops-Owl
Otus tempestatis,molsco2,Wetar Scops-Owl
Otus jolandae,rinsco1,Rinjani Scops-Owl
Otus podarginus,palowl2,Palau Scops-Owl
Otus mantananensis,masowl2,Mantanani Scops-Owl
Otus elegans,ryusco1,Ryukyu Scops-Owl
Otus manadensis,susowl1,Sulawesi Scops-Owl
Otus mendeni,sulsco5,Banggai Scops-Owl
Otus collari,sansco1,Sangihe Scops-Owl
Otus siaoensis,sulsco2,Siau Scops-Owl
Otus sulaensis,sulsco3,Sula Scops-Owl
Otus beccarii,biasco1,Biak Scops-Owl
Otus umbra,sisowl1,Simeulue Scops-Owl
Otus enganensis,ensowl1,Enggano Scops-Owl
Otus alius,nicsco1,Nicobar Scops-Owl
Otus pamelae,arasco1,Arabian Scops-Owl
Otus scops,eursco1,Eurasian Scops-Owl
Otus cyprius,eursco3,Cyprus Scops-Owl
Otus pembaensis,pesowl2,Pemba Scops-Owl
Otus hartlaubi,stsowl1,Sao Tome Scops-Owl
Otus senegalensis,afsowl1,African Scops-Owl
Otus brucei,pasowl3,Pallid Scops-Owl
Otus mirus,misowl1,Mindanao Scops-Owl
Otus longicornis,lusowl1,Luzon Scops-Owl
Otus moheliensis,mohsco1,Moheli Scops-Owl
Otus pauliani,cosowl3,Comoro Scops-Owl
Otus insularis,sesowl1,Seychelles Scops-Owl
Otus sunia,orsowl,Oriental Scops-Owl
Otus socotranus,afrsco2,Socotra Scops-Owl
Otus capnodes,ansowl2,Anjouan Scops-Owl
Otus mayottensis,maysco1,Mayotte Scops-Owl
Otus grucheti,reusco1,Reunion Scops-Owl
Otus murivorus,rodsco1,Rodrigues Scops-Owl
Otus sauzieri,mausco1,Mauritius Scops-Owl
Otus rutilus,madsco1,Madagascar Scops-Owl
Psiloscops flammeolus,flaowl,Flammulated Owl
Gymnasio nudipes,prsowl,Puerto Rican Owl
Megascops clarkii,bssowl,Bare-shanked Screech-Owl
Megascops trichopsis,whsowl1,Whiskered Screech-Owl
Megascops albogularis,whtsco1,White-throated Screech-Owl
Megascops choliba,trsowl,Tropical Screech-Owl
Megascops koepckeae,koesco1,Koepcke's Screech-Owl
Megascops ingens,rufsco1,Rufescent Screech-Owl
Megascops petersoni,cinsco1,Cinnamon Screech-Owl
Megascops marshalli,clfsco1,Cloud-forest Screech-Owl
Megascops hoyi,mofsco1,Montane Forest Screech-Owl
Megascops guatemalae,vesowl,Middle American Screech-Owl
Megascops centralis,versco2,Choco Screech-Owl
Megascops roraimae,foosco1,Foothill Screech-Owl
Megascops sanctaecatarinae,lotsco1,Long-tufted Screech-Owl
Megascops barbarus,besowl,Bearded Screech-Owl
Megascops seductus,basowl,Balsas Screech-Owl
Megascops cooperi,pasowl4,Pacific Screech-Owl
Megascops kennicottii,wesowl1,Western Screech-Owl
Megascops asio,easowl1,Eastern Screech-Owl
Megascops gilesi,samsco1,Santa Marta Screech-Owl
Megascops roboratus,persco1,Peruvian Screech-Owl
Megascops watsonii,tabsco1,Tawny-bellied Screech-Owl
Megascops atricapilla,bkcsco1,Black-capped Screech-Owl
Margarobyas lawrencii,balowl,Bare-legged Owl
Ptilopsis leucotis,nwfowl1,Northern White-faced Owl
Ptilopsis granti,swfowl1,Southern White-faced Owl
Lophostrix cristata,creowl1,Crested Owl
Jubula lettii,manowl1,Maned Owl
Pulsatrix perspicillata,speowl1,Spectacled Owl
Pulsatrix koeniswaldiana,tabowl1,Tawny-browed Owl
Pulsatrix melanota,babowl1,Band-bellied Owl
Bubo scandiacus,snoowl1,Snowy Owl
Bubo virginianus,grhowl,Great Horned Owl
Bubo magellanicus,grhowl2,Lesser Horned Owl
Bubo bengalensis,roeowl1,Rock Eagle-Owl
Bubo cinerascens,graeao1,Grayish Eagle-Owl
Bubo africanus,spoeao2,Spotted Eagle-Owl
Bubo milesi,speowl2,Arabian Eagle-Owl
Bubo capensis,caeowl1,Cape Eagle-Owl
Bubo ascalaphus,pheowl1,Pharaoh Eagle-Owl
Bubo bubo,eueowl1,Eurasian Eagle-Owl
Ketupa poensis,fraeao1,Fraser's Eagle-Owl
Ketupa leucostictus,akeowl1,Akun Eagle-Owl
Ketupa lacteus,veeowl1,Verreaux's Eagle-Owl
Ketupa shelleyi,sheowl1,Shelley's Eagle-Owl
Ketupa blakistoni,blfowl1,Blakiston's Fish-Owl
Ketupa ketupu,bufowl2,Buffy Fish-Owl
Ketupa zeylonensis,brfowl1,Brown Fish-Owl
Ketupa flavipes,tafowl1,Tawny Fish-Owl
Ketupa coromandus,dueowl1,Dusky Eagle-Owl
Ketupa nipalensis,sbeowl1,Spot-bellied Eagle-Owl
Ketupa sumatranus,baeowl1,Barred Eagle-Owl
Ketupa philippensis,pheowl2,Philippine Eagle-Owl
Scotopelia peli,pefowl1,Pel's Fishing-Owl
Scotopelia ussheri,rufowl1,Rufous Fishing-Owl
Scotopelia bouvieri,vefowl1,Vermiculated Fishing-Owl
Surnia ulula,nohowl,Northern Hawk Owl
Glaucidium passerinum,eupowl1,Eurasian Pygmy-Owl
Glaucidium perlatum,pesowl1,Pearl-spotted Owlet
Glaucidium gnoma,nopowl,Northern Pygmy-Owl
Glaucidium costaricanum,crpowl,Costa Rican Pygmy-Owl
Glaucidium nubicola,clopyo1,Cloud-forest Pygmy-Owl
Glaucidium jardinii,anpowl1,Andean Pygmy-Owl
Glaucidium bolivianum,yupowl1,Yungas Pygmy-Owl
Glaucidium parkeri,supowl1,Subtropical Pygmy-Owl
Glaucidium griseiceps,capowl1,Central American Pygmy-Owl
Glaucidium sanchezi,tapowl1,Tamaulipas Pygmy-Owl
Glaucidium palmarum,copowl1,Colima Pygmy-Owl
Glaucidium hardyi,amapyo1,Amazonian Pygmy-Owl
Glaucidium mooreorum,perpyo1,Pernambuco Pygmy-Owl
Glaucidium minutissimum,leapyo1,Least Pygmy-Owl
Glaucidium brasilianum,fepowl,Ferruginous Pygmy-Owl
Glaucidium nana,aupowl1,Austral Pygmy-Owl
Glaucidium peruanum,pepowl1,Peruvian Pygmy-Owl
Glaucidium siju,cupowl1,Cuban Pygmy-Owl
Glaucidium tephronotum,recowl1,Red-chested Owlet
Glaucidium sjostedti,sjoowl1,Sjöstedt's Owlet
Glaucidium cuculoides,asbowl1,Asian Barred Owlet
Glaucidium castanopterum,javowl1,Javan Owlet
Glaucidium radiatum,junowl1,Jungle Owlet
Glaucidium castanotum,chbowl1,Chestnut-backed Owlet
Glaucidium capense,afbowl1,African Barred Owlet
Glaucidium albertinum,albowl1,Albertine Owlet
Taenioptynx brodiei,colowl1,Collared Owlet
Taenioptynx sylvaticus,colowl3,Sunda Owlet
Micrathene whitneyi,elfowl,Elf Owl
Xenoglaux loweryi,lowowl1,Long-whiskered Owlet
Athene brama,spoowl1,Spotted Owlet
Athene noctua,litowl1,Little Owl
Athene blewitti,forowl1,Forest Owlet
Athene jacquinoti,solboo1,West Solomons Owl
Athene granti,solboo2,Guadalcanal Owl
Athene malaitae,solboo3,Malaita Owl
Athene roseoaxillaris,solboo4,Makira Owl
Athene superciliaris,whbowl1,White-browed Owl
Athene cunicularia,burowl,Burrowing Owl
Strix virgata,motowl,Mottled Owl
Strix nigrolineata,bawowl1,Black-and-white Owl
Strix huhula,bkbowl1,Black-banded Owl
Strix albitarsis,rubowl3,Rufous-banded Owl
Strix seloputo,spwowl1,Spotted Wood-Owl
Strix ocellata,mowowl1,Mottled Wood-Owl
Strix leptogrammica,brwowl1,Brown Wood-Owl
Strix aluco,tawowl1,Tawny Owl
Strix mauritanica,tawowl3,Maghreb Owl
Strix nivicolum,himowl1,Himalayan Owl
Strix hadorami,humowl1,Desert Owl
Strix butleri,omaowl1,Omani Owl
Strix occidentalis,spoowl,Spotted Owl
Strix varia,brdowl,Barred Owl
Strix sartorii,barowl13,Cinereous Owl
Strix fulvescens,fulowl1,Fulvous Owl
Strix hylophila,rubowl2,Rusty-barred Owl
Strix rufipes,rulowl1,Rufous-legged Owl
Strix chacoensis,chaowl1,Chaco Owl
Strix uralensis,uraowl1,Ural Owl
Strix nebulosa,grgowl,Great Gray Owl
Strix woodfordii,afwowl1,African Wood-Owl
Asio grammicus,jamowl1,Jamaican Owl
Asio otus,loeowl,Long-eared Owl
Asio abyssinicus,aleowl1,Abyssinian Owl
Asio madagascariensis,mleowl1,Madagascar Owl
Asio clamator,strowl1,Striped Owl
Asio stygius,styowl1,Stygian Owl
Asio flammeus,sheowl,Short-eared Owl
Asio capensis,marowl2,Marsh Owl
Asio solomonensis,feaowl1,Fearful Owl
Aegolius funereus,borowl,Boreal Owl
Aegolius acadicus,nswowl,Northern Saw-whet Owl
Aegolius gradyi,bswowl1,Bermuda Saw-whet Owl
Aegolius ridgwayi,uswowl1,Unspotted Saw-whet Owl
Aegolius harrisii,bufowl1,Buff-fronted Owl
Ninox rufa,rufowl2,Rufous Owl
Ninox strenua,powowl1,Powerful Owl
Ninox connivens,barowl1,Barking Owl
Ninox rudolfi,sumboo1,Sumba Boobook
Ninox affinis,andhao1,Andaman Boobook
Ninox boobook,souboo8,Southern Boobook
Ninox rotiensis,souboo4,Rote Boobook
Ninox fusca,souboo5,Timor Boobook
Ninox plesseni,souboo6,Alor Boobook
Ninox leucopsis,souboo3,Tasmanian Boobook
Ninox novaeseelandiae,morepo2,Morepork
Ninox albifacies,lauowl1,Laughing Owl
Ninox sumbaensis,lishao1,Least Boobook
Ninox scutulata,brnhao1,Brown Boobook
Ninox obscura,brnhao3,Hume's Boobook
Ninox japonica,norboo1,Northern Boobook
Ninox randi,choboo1,Chocolate Boobook
Ninox philippensis,phihao1,Luzon Boobook
Ninox spilocephala,minboo1,Mindanao Boobook
Ninox mindorensis,minboo2,Mindoro Boobook
Ninox spilonotus,romboo1,Romblon Boobook
Ninox rumseyi,cebboo1,Cebu Boobook
Ninox leventisi,camboo1,Camiguin Boobook
Ninox reyi,sulboo1,Sulu Boobook
Ninox ochracea,ocbhao1,Ochre-bellied Boobook
Ninox burhani,toghao1,Togian Boobook
Ninox ios,cinhao1,Cinnabar Boobook
Ninox hypogramma,molhao3,Halmahera Boobook
Ninox forbesi,molhao2,Tanimbar Boobook
Ninox squamipila,hanboo2,Seram Boobook
Ninox hantu,hanboo1,Buru Boobook
Ninox natalis,chihao1,Christmas Island Boobook
Ninox theomacha,junhao1,Papuan Boobook
Ninox meeki,manhao1,Manus Boobook
Ninox punctulata,spehao1,Speckled Boobook
Ninox variegata,bishao1,Bismarck Boobook
Ninox odiosa,nebhao1,New Britain Boobook
